[[], {}]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957685, 481575896)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957685, 481575952)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957685, 514974672)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957685, 514974725)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957685, 548371306)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957685, 548371373)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957685, 581765341)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957685, 581765411)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957685, 615156471)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957685, 615156527)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957685, 648548800)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957685, 648548854)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957685, 681945992)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957685, 681946055)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957685, 715340117)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957685, 715340174)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957685, 748734318)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957685, 748734370)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957685, 782129073)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957685, 782129137)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957685, 815520438)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957685, 815520499)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957685, 848916452)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957685, 848916523)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957685, 882311164)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957685, 882311277)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957685, 915701145)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957685, 915701215)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957685, 949079091)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957685, 949079163)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957685, 982474568)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957685, 982474641)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957686, 15868919)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957686, 15868988)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957686, 49260249)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957686, 49260311)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957686, 82651847)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957686, 82651915)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957686, 116047585)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957686, 116047650)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957686, 149443120)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957686, 149443184)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957686, 182834634)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957686, 182834692)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681957686, 216228107)}]]
