[[], {}]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891413, 410809943)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891413, 444176551)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891413, 444176629)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891413, 477552723)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891413, 477552801)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891413, 510933487)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891413, 510933591)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891413, 544315816)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891413, 544315894)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891413, 577690973)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891413, 577691050)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891413, 611073984)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891413, 611074059)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891413, 644442334)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891413, 644442409)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891413, 677819289)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891413, 677819365)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891413, 711208998)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891413, 711209074)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891413, 744585280)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891413, 744585355)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891413, 777956454)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891413, 777956529)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891413, 811350031)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891413, 811350106)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891413, 844720578)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891413, 844720652)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891413, 878097338)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891413, 878097413)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891413, 911488900)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891413, 911488974)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891413, 944860096)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891413, 944860170)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891413, 978237945)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891413, 978238019)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891414, 11629404)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891414, 11629480)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891414, 44999039)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891414, 44999114)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891414, 78378568)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891414, 78378642)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891414, 111771912)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891414, 111771989)}]]
[[], [{'selectionSequenceId': 16777217, 'observationTimeNanoseconds': (1681891414, 145139740)}]]
